nohup: ignoring input
Starting training with 1 PS and 4 Workers.
[Gloo] Rank 2 is connected to 4 peer ranks. Expected number of connected peer ranks is : 4
[Gloo] Rank 0 is connected to 4 peer ranks. Expected number of connected peer ranks is : 4
[Gloo] Rank 1 is connected to 4 peer ranks. Expected number of connected peer ranks is : 4
[Gloo] Rank 3 is connected to 4 peer ranks. Expected number of connected peer ranks is : 4
[Gloo] Rank 4 is connected to 4 peer ranks. Expected number of connected peer ranks is : 4
Parameter Server (Rank 0) starting...
Worker 0 (Rank 1) starting...
Worker 1 (Rank 2) starting...
Worker 3 (Rank 4) starting...
Worker 2 (Rank 3) starting...
Rank 2 Epoch 1 Batch 0 Loss 7.1039
Rank 2 Epoch 1 Batch 10 Loss 7.8668
Rank 2 Epoch 1 Batch 20 Loss 7.1565
Rank 2 Epoch 1 Batch 30 Loss 6.8873
Rank 2 Epoch 1 Batch 40 Loss 6.9234
Rank 2 Epoch 1 Batch 50 Loss 7.0309
Rank 2 Epoch 1 Batch 60 Loss 6.8958
Rank 2 Epoch 1 Batch 70 Loss 6.9350
Rank 2 Epoch 1 Batch 80 Loss 6.8928
Rank 2 Epoch 1 Batch 90 Loss 6.9031
Rank 2 Epoch 1 Batch 100 Loss 6.9235
Rank 2 Epoch 1 Batch 110 Loss 6.9080
Rank 2 Epoch 1 Batch 120 Loss 6.9151
Rank 2 Epoch 1 Batch 130 Loss 6.9216
Rank 2 Epoch 1 Batch 140 Loss 6.9037
Rank 2 Epoch 1 Batch 150 Loss 6.9050
Rank 2 Epoch 1 Batch 160 Loss 6.9023
Rank 2 Epoch 1 Batch 170 Loss 6.8925
Rank 2 Epoch 1 Batch 180 Loss 6.8949
Rank 2 Epoch 1 Batch 190 Loss 6.8988
Rank 2 Epoch 1 Batch 200 Loss 6.9141
Rank 2 Epoch 1 Batch 210 Loss 6.8777
Rank 2 Epoch 1 Batch 220 Loss 6.8978
Rank 2 Epoch 1 Batch 230 Loss 6.9000
Rank 2 Epoch 1 Batch 240 Loss 6.9116
Rank 2 Epoch 1 Batch 250 Loss 6.8822
Rank 2 Epoch 1 Batch 260 Loss 6.8670
Rank 2 Epoch 1 Batch 270 Loss 6.8899
Rank 2 Epoch 1 Batch 280 Loss 6.8757
Rank 2 Epoch 1 Batch 290 Loss 6.8882
Rank 2 Epoch 1 Batch 300 Loss 6.8790
Rank 2 Epoch 1 Batch 310 Loss 6.8497
Rank 2 Epoch 1 Batch 320 Loss 6.8430
Rank 2 Epoch 1 Batch 330 Loss 6.8305
Rank 2 Epoch 1 Batch 340 Loss 6.8432
Rank 2 Epoch 1 Batch 350 Loss 6.8498
Rank 2 Epoch 1 Batch 360 Loss 6.8461
Rank 2 Epoch 1 Batch 370 Loss 6.8411
Rank 2 Epoch 1 Batch 380 Loss 6.8334
Rank 2 Epoch 1 Batch 390 Loss 6.8360
Rank 2 Epoch 1 Batch 400 Loss 6.7981
Rank 2 Epoch 1 Batch 410 Loss 6.7245
Rank 2 Epoch 1 Batch 420 Loss 6.6510
